Date,NIFTY50_Open,NIFTY50_Close,NIFTY50_High,NIFTY50_Low,NIFTY50_Volume,NIFTY50_Avg_Price,NIFTY50_HL_Spread,NIFTY50_Daily_Return,SENSEX_Open,SENSEX_Close,SENSEX_High,SENSEX_Low,SENSEX_Volume,SENSEX_Avg_Price,SENSEX_HL_Spread,SENSEX_Daily_Return,NIFTY_BANK_Open,NIFTY_BANK_Close,NIFTY_BANK_High,NIFTY_BANK_Low,NIFTY_BANK_Volume,NIFTY_BANK_Avg_Price,NIFTY_BANK_HL_Spread,NIFTY_BANK_Daily_Return,NIFTY_IT_Open,NIFTY_IT_Close,NIFTY_IT_High,NIFTY_IT_Low,NIFTY_IT_Volume,NIFTY_IT_Avg_Price,NIFTY_IT_HL_Spread,NIFTY_IT_Daily_Return,NIFTY_PHARMA_Open,NIFTY_PHARMA_Close,NIFTY_PHARMA_High,NIFTY_PHARMA_Low,NIFTY_PHARMA_Volume,NIFTY_PHARMA_Avg_Price,NIFTY_PHARMA_HL_Spread,NIFTY_PHARMA_Daily_Return,NIFTY_FMCG_Open,NIFTY_FMCG_Close,NIFTY_FMCG_High,NIFTY_FMCG_Low,NIFTY_FMCG_Volume,NIFTY_FMCG_Avg_Price,NIFTY_FMCG_HL_Spread,NIFTY_FMCG_Daily_Return,NIFTY_AUTO_Open,NIFTY_AUTO_Close,NIFTY_AUTO_High,NIFTY_AUTO_Low,NIFTY_AUTO_Volume,NIFTY_AUTO_Avg_Price,NIFTY_AUTO_HL_Spread,NIFTY_AUTO_Daily_Return,RELIANCE_Open,RELIANCE_Close,RELIANCE_High,RELIANCE_Low,RELIANCE_Volume,RELIANCE_Avg_Price,RELIANCE_HL_Spread,RELIANCE_Daily_Return,TCS_Open,TCS_Close,TCS_High,TCS_Low,TCS_Volume,TCS_Avg_Price,TCS_HL_Spread,TCS_Daily_Return,HDFCBANK_Open,HDFCBANK_Close,HDFCBANK_High,HDFCBANK_Low,HDFCBANK_Volume,HDFCBANK_Avg_Price,HDFCBANK_HL_Spread,HDFCBANK_Daily_Return,USD_INR_Open,USD_INR_Close,USD_INR_High,USD_INR_Low,USD_INR_Volume,USD_INR_Avg_Price,USD_INR_HL_Spread,USD_INR_Daily_Return,GOLD_Open,GOLD_Close,GOLD_High,GOLD_Low,GOLD_Volume,GOLD_Avg_Price,GOLD_HL_Spread,GOLD_Daily_Return,BRENT_CRUDE_Open,BRENT_CRUDE_Close,BRENT_CRUDE_High,BRENT_CRUDE_Low,BRENT_CRUDE_Volume,BRENT_CRUDE_Avg_Price,BRENT_CRUDE_HL_Spread,BRENT_CRUDE_Daily_Return,RBI_Repo_Rate,Monetary_Policy_Shock,Inflation_Proxy_YoY
6/24/2016,8174.825317,8195.66272,8220.474854,8117.6875,181200,8177.162598,102.7873535,-0.00527407,26704.94482,26744.59033,26827.43994,26504.97461,12100,26695.48743,322.465332,-0.005102178,17553.89603,17640.70752,17721.10649,17415.08514,94650,17582.69879,306.0213436,-0.003519453,11421.72485,11417.36255,11447.2251,11328.6499,9300,11403.7406,118.5751953,-0.008278855,10690.63745,10716.18726,10763.6875,10617.8374,10660250,10697.0874,145.8500977,0.003780227,20860.4126,20932.43701,20999.50049,20778.5249,12961750,20892.71875,220.9755859,-0.003251777,8731.950195,8784.625244,8811.737305,8654.737305,460150,8745.762512,157,-0.008490678,213.9682099,212.6349792,214.1317916,210.4919974,15386100.25,212.8067445,3.639794198,-0.012105212,1038.310826,1038.754395,1044.397576,1026.37882,1988250.5,1036.960404,18.01875616,-0.009715139,264.0680841,265.1705704,266.5302994,262.4313117,5393876,264.5500664,4.098987694,-0.001220328,67.44949913,67.34999847,67.78025246,67.24749947,0,67.45681238,0.532752991,0.000566436,1269.5,1279.924988,1297.299988,1260.024994,274.75,1276.687492,37.2749939,0.013097254,50.64249992,49.95499992,51.13999939,49.02499962,36770.75,50.19062471,2.114999771,-0.014358473,5.274835708,0,4.5
7/1/2016,8176.359961,8208.52998,8228.860156,8166.92002,184960,8195.167529,61.94013672,0.005865123,26675.22422,26762.50664,26833.11992,26636.29648,10540,26726.78682,196.8234375,0.005603382,17666.18481,17737.28398,17803.16252,17631.69537,82440,17709.58167,171.4671474,0.006350087,11054.83008,11033.73027,11106.60996,10976.60996,11120,11042.94507,130,-0.001806945,11041.8,11095.4,11135.70977,11022.3,10139600,11073.80244,113.4097656,0.009207726,21284.38008,21493.45,21597.68984,21229.28008,23611000,21401.2,368.4097656,0.011643952,8735.939844,8745.509961,8774.069922,8702.209961,373020,8739.432422,71.85996094,0.00604922,209.5497419,210.3916626,211.2750298,209.0655226,8732167.8,210.0704892,2.209507216,0.004585792,993.7402404,987.0216553,1000.683557,977.9058133,3724492.4,989.8378166,22.77774422,-0.005544845,265.4157683,265.7290588,267.1119834,263.482929,6840640.8,265.4349349,3.629054338,0.003809706,67.65420074,67.68399963,67.83579865,67.43160095,0,67.65139999,0.404197693,0.000780784,1319.340015,1323.36001,1328.47998,1316.419995,455,1321.9,12.05998535,0.002542834,48.94599915,49.17400055,49.70599976,48.42799988,18601.6,49.06349983,1.277999878,0.00618414,5.267922493,-0.006913215,4.5
7/8/2016,8362.012451,8341.937744,8373.787598,8322.475098,146650,8350.053223,51.3125,-0.000148845,27289.33252,27193.50488,27329.34033,27139.86279,10350,27238.01013,189.4775391,-0.000159639,18081.91516,18050.55273,18123.83899,17987.89087,74325,18061.04944,135.9481261,0.000437452,11100.67505,11053.63745,11134.9751,11019.7876,8550,11077.2688,115.1875,-0.003390876,11423.27515,11444.5498,11495.93774,11359.2124,10184750,11430.74377,136.7253418,0.007019699,21902.4624,21794.4375,21974.1499,21667.4624,17556000,21834.62805,306.6875,-0.001880975,8903.275146,8870.312744,8921.5,8847.262451,408975,8885.587585,74.23754883,-0.000650299,214.9033741,215.1760139,217.3517084,213.660117,9583273.75,215.2728034,3.691591394,0.001311286,979.0942292,969.5328827,981.4501105,964.7768159,2304097,973.7135096,16.67329462,-0.00746897,268.1364873,267.8457794,269.5130822,265.9447706,4334416,267.8600299,3.568311576,0.000126542,67.34880066,67.34860077,67.48359985,67.11000061,0,67.32275047,0.373599243,-8.53E-06,1357.325012,1359.5,1366.525024,1346.049988,169,1357.350006,20.47503662,0.003728578,48.64000034,47.47999954,49.2149992,46.75750065,33108.75,48.02312493,2.45749855,-0.015406965,5.300306919,0.032384427,4.5
7/15/2016,8507.519922,8522.970117,8543.659961,8478.109961,180900,8513.06499,65.55,0.005213039,27752.42461,27805.72383,27884.28984,27655.44023,16100,27774.46963,228.8496094,0.005205791,18604.24406,18698.7625,18740.28194,18521.0548,105160,18641.08583,219.2271413,0.010229624,11093.52988,11021.05,11135.66992,10963.05996,16400,11053.32744,172.6099609,-0.004077742,11676.48008,11652.9002,11712.02012,11599.95996,9578200,11660.34009,112.0601563,0.000685029,22041.79023,22012.03984,22161.26016,21913.63047,13004400,22032.18018,247.6296875,0.001606771,9063.5,9114.040039,9141.7,9042.840039,349100,9090.52002,98.85996094,0.0074557,218.4880911,219.063916,220.3726044,217.3473495,11540150.4,218.8179903,3.025254831,0.006834658,976.4585868,976.9908691,985.9332282,962.9701674,3229564.4,975.5882129,22.96306078,0.001683414,273.631483,274.6894287,275.5193784,271.6569382,5613904,273.8743071,3.862440164,0.008231557,67.01800079,66.99819946,67.15659943,66.81999969,0,66.99819984,0.336599731,-0.001956624,1348.37998,1337.86001,1349.06001,1333.119995,71.4,1342.104999,15.94001465,-0.004451321,46.90599976,47.19199982,47.88400116,46.22599945,26759.4,47.05200005,1.658001709,0.004111878,5.376458412,0.076151493,4.5
7/22/2016,8539.230078,8530.879883,8566.25,8495.369922,157140,8532.932471,70.88007813,4.82E-06,27837.64023,27792.78594,27919.31563,27685.82617,14300,27808.89199,233.4894531,-0.000229166,18905.87063,18832.07109,18987.77944,18759.93209,93400,18871.41331,227.847349,-0.002771501,10705.1,10758.86992,10777.13984,10677.16992,15060,10729.56992,99.96992188,0.00073818,11748.37012,11753.11992,11824.56992,11674.56992,9927000,11750.15747,150,0.00362491,22017.05977,21953.80977,22093.70977,21811.23984,18177200,21968.95479,282.4699219,-0.000272908,9255.25,9253,9309.879883,9215.719922,402500,9258.462451,94.15996094,0.00187718,221.7772806,221.0924011,223.9082658,219.1489896,14926416.4,221.4817343,4.759276167,0.00057596,970.9544992,979.064917,984.7465454,966.9958975,2364272.4,975.4404648,17.7506479,0.005661987,280.0407505,279.8743042,281.9218158,278.2714179,5289599.2,280.0270721,3.650397904,0.001177535,67.15500183,67.15920105,67.22799988,67.01600037,0,67.13955078,0.211999512,0.000945431,1326.1,1326.46001,1333.37998,1320.26001,300,1326.55,13.1199707,-0.000492455,46.95200043,46.5359993,47.37799988,46.0340004,24210.4,46.725,1.343999481,-0.00814276,5.364750744,-0.011707669,4.5
7/29/2016,8611.670117,8629.380078,8659.220117,8584.560156,175880,8621.207617,74.65996094,0.002285657,28038.62383,28071.33359,28188.88984,27933.26797,12580,28058.02881,255.621875,0.001800921,18915.76989,18980.19922,19080.11798,18835.81105,116260,18952.97454,244.3069263,0.002834268,10857.80996,10905.19023,10927.92012,10834.10996,11900,10881.25757,93.81015625,0.0029177,11693.76016,11688.73008,11762.15,11616.87988,11235800,11690.38003,145.2701172,-0.001973724,22093.35,22124.5,22248.81953,21981.98047,20037200,22112.1625,266.8390625,0.00210743,9349.370117,9368.029883,9421.689844,9305.740039,347760,9361.207471,115.9498047,0.003889448,222.4338104,222.5276001,224.2201719,220.5820133,11005833.8,222.4408989,3.638158569,5.71E-05,1013.597617,1022.072974,1025.899499,1008.806532,2574152,1017.594156,17.09296634,0.008712151,282.8384017,283.5201355,284.7308616,281.0280265,8063163.2,283.0293563,3.702835084,0.002517417,67.18160095,67.18100128,67.29060059,66.94199982,0,67.14880066,0.348600769,-0.000435307,1325.919971,1329.580005,1332.840015,1322.180005,55796.6,1327.629999,10.66000977,0.003897577,44.24800034,43.64400024,44.45999985,43.28400116,16836.2,43.9090004,1.175998688,-0.014482208,5.353043896,-0.011706848,4.5
8/5/2016,8627.420117,8607.709961,8664.950195,8567.960156,168680,8617.010107,96.99003906,0.001063247,27974.23008,27895.01172,28101.55586,27777.6582,12780,27937.11396,323.8976563,0.00021666,18762.01111,18709.48164,18877.48046,18599.93331,93400,18737.22663,277.5471555,-0.000234844,11151.6,11156.99004,11228.81992,11077.9,14600,11153.82749,150.9199219,0.004103503,11672.6998,11615.26016,11725.02988,11555.96016,9149000,11642.2375,169.0697266,-0.00029674,22286.53984,22216.91016,22461.48984,22060.42969,18251600,22256.34238,401.0601563,-0.0005789,9506.700195,9495.959961,9603.130273,9419.280273,452280,9506.267676,183.85,0.0057365,219.7466285,219.2275146,221.3301428,217.3866231,9971456,219.4227273,3.943519703,0.000358894,1056.634745,1056.638721,1067.873281,1046.696797,2423693.6,1056.960886,21.17648361,0.002402394,284.1471331,283.4722351,285.8161391,281.5615336,5214385.6,283.7492602,4.254605519,0.000494891,66.73340149,66.73520203,66.88800201,66.62500153,0,66.74540176,0.263000488,-0.000492535,1355.06001,1353.42002,1361.319995,1345.23999,1280.2,1353.760004,16.08000488,-0.001835724,42.84599915,43.18199997,43.57600021,42.29399948,25011.2,42.9744997,1.282000732,0.008542301,5.432004537,0.078960641,4.5
8/12/2016,8675.037354,8639.262451,8685.774902,8610.112305,183875,8652.546753,75.66259766,-0.002612504,28066.07773,28010.92227,28153.05625,27883.93789,16160,28028.49854,269.1183594,0.000553529,18848.09074,18824.71094,18941.39942,18715.47197,104100,18832.41827,225.9274489,0.000451315,11184.00996,11193.34023,11235.7502,11145.45,11320,11189.6376,90.30019531,0.000658629,11570.20996,11477.80039,11600.35996,11408.44004,12144400,11514.20259,191.9199219,-0.005446343,22103.77969,22135.43047,22272.84961,21973.21992,19053400,22121.31992,299.6296875,0.002258288,9702.480078,9647.249805,9741.779883,9592.890039,520000,9671.099951,148.8898438,-0.002424324,222.3509215,223.0663361,225.4786934,220.6561628,14170790.4,222.8880284,4.822530549,0.003953375,1053.057025,1061.271436,1064.920132,1045.463229,2188546.4,1056.177955,19.45690251,0.006670912,283.123397,281.8465454,284.0445384,280.1478973,4011384,282.2905945,3.896641058,-0.003290126,66.78880005,66.78199921,66.88800049,66.69500122,0,66.78845024,0.192999268,-0.000302392,1337.000024,1339.000024,1346.240015,1333.72002,419.2,1338.990021,12.51999512,-8.33E-05,44.91399918,45.48600006,46.13999939,44.40599976,23091.4,45.2364996,1.733999634,0.012193279,5.470376273,0.038371736,4.5
8/19/2016,8663.299805,8651.6875,8684.187256,8624.049805,188775,8655.806091,60.13745117,0.002174522,28124.28223,28067.60449,28199.96777,28001.47754,13575,28098.33301,198.4902344,-0.000666139,19144.73993,19202.50195,19256.12584,19053.76589,91925,19164.2834,202.3599542,0.005911385,10944.4375,10828.34985,10972.7251,10808.52515,15800,10888.5094,164.1999512,-0.010106527,11494.5249,11517.375,11538.6626,11441.96265,11889750,11498.13129,96.69995117,0.004915866,22366.17529,22308.9248,22458.3501,22252.79932,16116750,22346.56238,205.5507813,-0.001819598,9643.625,9630.687256,9682.050049,9588.675049,255700,9636.259338,93.375,0.000539562,223.2599145,221.9948502,224.6176789,220.6125413,11195409.75,222.6212462,4.005137562,-0.005061955,1058.626938,1043.437347,1061.690553,1039.845027,2185157,1050.899966,21.84552547,-0.012492086,282.4097434,282.8315582,283.9174384,280.2094752,4800474,282.3420538,3.707963241,0.003748521,66.87187958,66.86953888,66.99129944,66.78309937,0,66.87895432,0.208200073,0.000240412,1345.119995,1345.019995,1349.480005,1339.999976,174.4,1344.904993,9.480029297,0.000708196,48.98800049,49.83999939,50.02799988,48.62799988,28588,49.37099991,1.4,0.01616822,5.446902554,-0.023473719,4.5
8/26/2016,8645.409766,8615.359961,8658.809961,8589.220117,170000,8627.199951,69.58984375,-0.002181807,28030.44609,27930.76992,28074.14844,27846.51602,9780,27970.47012,227.6324219,-0.002102215,19364.44463,19305.27578,19409.53434,19239.91677,72520,19329.79288,169.6175613,-0.00226244,10722.61016,10667.06992,10781.83008,10613.23008,12780,10696.18506,168.6,-0.003776893,11528.53008,11461.13984,11562.87012,11416.44023,12619400,11492.24507,146.4298828,-0.00330706,22294.33945,22258.79961,22370.71016,22170.99023,14394400,22273.70986,199.7199219,0.00017659,9565.630078,9520.709961,9593.099805,9481.980078,274580,9540.35498,111.1197266,-0.002069244,221.3781218,221.7532837,223.1950272,220.156677,9464934.8,221.6207774,3.038350191,0.002584646,1016.926106,1011.806909,1024.919164,1003.185301,1615106,1014.20937,21.73386276,-0.006010774,286.0168253,286.3405945,287.350662,284.6579056,5527555.2,286.0914969,2.692756381,0.001605701,67.11401978,67.12210083,67.15946045,66.98292084,0,67.09462547,0.176539612,0.000557566,1330.76001,1328.859985,1336.119971,1325.52002,225.8,1330.314996,10.59995117,-0.002823362,49.62399979,49.5519989,50.26600037,48.82200012,32966.4,49.56599979,1.444000244,-0.003614577,5.474030556,0.027128002,4.5
